NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Trae Young,youngtr01,26,PG,24.2,11.6,3.1,1.2,0.2,https://www.basketball-reference.com/players/y/youngtr01.html
Jalen Johnson,johnsja05,23,SF,18.9,5.0,10.0,1.6,1.0,https://www.basketball-reference.com/players/j/johnsja05.html
Dyson Daniels,daniedy01,21,SG,14.1,4.4,5.9,3.0,0.7,https://www.basketball-reference.com/players/d/daniedy01.html
De'Andre Hunter,huntede01,27,SF,19.0,1.5,3.9,0.8,0.1,https://www.basketball-reference.com/players/h/huntede01.html
Onyeka Okongwu,okongon01,24,C,13.4,2.3,8.9,0.9,0.9,https://www.basketball-reference.com/players/o/okongon01.html
Jacob Toppin,toppija01,24,SF,17.0,2.0,4.0,0.0,0.0,https://www.basketball-reference.com/players/t/toppija01.html
Caris LeVert,leverca01,30,SG,14.9,2.9,3.7,0.9,0.5,https://www.basketball-reference.com/players/l/leverca01.html
Bogdan Bogdanović,bogdabo01,32,SG,10.0,2.0,2.8,0.8,0.3,https://www.basketball-reference.com/players/b/bogdabo01.html
Zaccharie Risacher,risacza01,19,SF,12.6,1.2,3.6,0.7,0.5,https://www.basketball-reference.com/players/r/risacza01.html
Georges Niang,niangge01,31,PF,12.1,1.6,3.0,0.4,0.3,https://www.basketball-reference.com/players/n/niangge01.html
Terance Mann,mannte01,28,SG,9.8,2.1,3.1,0.6,0.1,https://www.basketball-reference.com/players/m/mannte01.html
Clint Capela,capelca01,30,C,8.9,1.1,8.5,0.6,1.0,https://www.basketball-reference.com/players/c/capelca01.html
Vit Krejci,krejcvi01,24,PG,7.2,2.6,2.7,0.6,0.5,https://www.basketball-reference.com/players/k/krejcvi01.html
Larry Nance Jr.,nancela02,32,PF,8.5,1.6,4.3,0.8,0.5,https://www.basketball-reference.com/players/n/nancela02.html
Garrison Mathews,mathega01,28,SG,7.5,1.3,1.9,0.6,0.3,https://www.basketball-reference.com/players/m/mathega01.html
Mouhamed Gueye,gueyemo02,22,PF,6.0,0.8,4.2,0.8,1.0,https://www.basketball-reference.com/players/g/gueyemo02.html
Keaton Wallace,wallake01,25,PG,5.4,2.6,1.6,0.9,0.3,https://www.basketball-reference.com/players/w/wallake01.html
David Roddy,roddyda01,23,PF,4.5,1.1,2.6,0.4,0.3,https://www.basketball-reference.com/players/r/roddyda01.html
Kobe Bufkin,bufkiko01,21,SG,5.3,1.7,2.1,0.3,0.2,https://www.basketball-reference.com/players/b/bufkiko01.html
Daeqwon Plowden,plowdda01,26,SG,7.2,0.3,1.8,0.0,0.0,https://www.basketball-reference.com/players/p/plowdda01.html
Dominick Barlow,barlodo01,21,SF,4.2,0.5,2.4,0.3,0.5,https://www.basketball-reference.com/players/b/barlodo01.html
Jayson Tatum,tatumja01,26,PF,26.8,6.0,8.7,1.1,0.5,https://www.basketball-reference.com/players/t/tatumja01.html
